Probes	26	30	34	38	42	46	50	54	58	62	66	70	74
253360_at	0.9710712	1.0939119	1.0780802	1	0.9449303	0.9914905	1.0130893	1.2453736	1.0938123	0.99998415	0.96737057	1.0000055	0.99461526
260857_at	0.8825597	0.8354477	0.9825929	1.0216568	1.0758575	1.0088825	0.95395863	0.87589324	1	1.0075626	1.1447676	1.1540037	0.70784104
247109_at	0.70033497	0.6480179	0.7709565	1	1.2917433	1.0179614	0.8597328	0.62669104	0.86797756	1.7547357	1.3990688	1.5105478	1.169283
255494_at	1	0.42101234	1.0340044	1	1.2180107	1.236432	1	0.94513285	0.9635562	0.99911785	1.2684834	1	0.7556586
257860_at	1.0434321	1.0723695	1	0.9666959	0.9568896	1.0270458	1.1062813	1.03794	0.97327536	0.9730724	0.967461	0.908728	1.0403374
245482_at	1.0147119	1.0089197	0.98712534	1.2161217	1.0237657	0.97985184	0.85528415	0.9495196	1.0019578	1.1234308	1	0.83386886	0.9087511
259824_at	1.0970122	1.01515	0.99620175	0.9088334	1	1.0319763	1.0691746	0.92104924	0.9028447	0.99137646	1	0.98506993	1.1080257
264057_at	0.9625692	0.9841244	0.87714094	0.95282084	1.0457579	1.0365549	1	1.0249451	0.8588448	0.92773974	1.0160618	1.093849	1.2968299
263706_s_at	1.1378618	1.0552282	0.8043766	0.7878751	1.1100514	1.2006391	1.4714977	0.7874842	0.6633166	0.9751778	1	0.95099366	1.324617
248261_at	1.3201777	0.68789613	0.46205488	1.0296324	1.1138914	1.005017	0.9888803	0.60903853	0.84718746	0.99999994	1.2172741	0.9902446	1.098607
